build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"efb3036c1","9985","Intel(R) Xeon(R) 6759P-C","","CPU","/home/shared/models/gguf-models/Llama-2-7b-chat-hf-GGUF/Llama-2-7b-chat-hf.Q2_K.gguf","llama 7B Q2_K - Medium","2532122624","6738415616","2048","512","120","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-13T08:33:01Z","6809449169","144472218","75.211939","1.576880"
"efb3036c1","9985","Intel(R) Xeon(R) 6759P-C","","CPU","/home/shared/models/gguf-models/Llama-2-7b-chat-hf-GGUF/Llama-2-7b-chat-hf.Q2_K.gguf","llama 7B Q2_K - Medium","2532122624","6738415616","2048","512","120","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-13T08:33:37Z","23286360406","4186084159","24.098821","21.344395"
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"efb3036c1","9985","Intel(R) Xeon(R) 6759P-C","","CPU","/home/shared/models/gguf-models/Llama-2-7b-chat-hf-GGUF/Llama-2-7b-chat-hf.Q3_K_S.gguf","llama 7B Q3_K - Small","2947563520","6738415616","2048","512","120","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-13T08:34:52Z","3696993928","712853526","141.650246","24.577555"
"efb3036c1","9985","Intel(R) Xeon(R) 6759P-C","","CPU","/home/shared/models/gguf-models/Llama-2-7b-chat-hf-GGUF/Llama-2-7b-chat-hf.Q3_K_S.gguf","llama 7B Q3_K - Small","2947563520","6738415616","2048","512","120","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-13T08:35:24Z","4045097070","127759408","31.664268","0.998557"
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"efb3036c1","9985","Intel(R) Xeon(R) 6759P-C","","CPU","/home/shared/models/gguf-models/Llama-2-7b-chat-hf-GGUF/Llama-2-7b-chat-hf.Q3_K_M.gguf","llama 7B Q3_K - Medium","3297263616","6738415616","2048","512","120","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-13T08:35:48Z","7104252681","576051167","72.372562","5.606207"
"efb3036c1","9985","Intel(R) Xeon(R) 6759P-C","","CPU","/home/shared/models/gguf-models/Llama-2-7b-chat-hf-GGUF/Llama-2-7b-chat-hf.Q3_K_M.gguf","llama 7B Q3_K - Medium","3297263616","6738415616","2048","512","120","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-13T08:36:28Z","73128801076","4233744478","15.359225","16.905298"
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
